Year,field,Yield,Organic matter content,Total carbon,Total nitrogen,Electrical conductivity,Sand,Carbon-nitrogen ratio,Available phosphorus,Variety,Days to heading,Planting system,Organic,Green manure,Manure,Soil amendments,Herbicide,Pesticide,Years of production,Average temperature1,Min temperature1,Max temperature1,Precipitation1,Radiation1,Average temperature2,Min temperature2,Max temperature2,Precipitation2,Radiation2,Average temperature3,Min temperature3,Max temperature3,Precipitation3,Radiation3,Average temperature4,Min temperature4,Max temperature4,Precipitation4,Radiation4
2022,F001,5.197,3.748,2.313,0.212,0.608,37.588,10.906,16.979,1,91.86,1,0,0,0,0,1,1,3,20.772,15.938,26.392,4.981,11.209,23.544,18.505,28.941,4.667,12.538,25.01,20.529,30.249,9.565,17.567,24.718,21.079,29.001,11.331,15.596
2023,F001,5.695,1.813,1.049,0.087,0.479,49.474,12.072,17.54,4,86.36,0,0,0,1,1,1,1,4,20.272,16.139,25.732,8.01,15.386,24.413,18.903,28.474,5.657,14.341,26.441,22.048,30.841,10.789,21.005,24.288,18.533,28.325,8.559,18.993
2022,F002,6.14,2.864,1.629,0.157,0.399,25.152,10.374,24.276,2,77.18,0,0,1,0,1,1,1,7,21.646,16.962,25.521,5.33,11.889,23.94,18.539,28.758,11.132,17.193,26.371,20.918,30.748,7.735,21.461,22.149,17.66,25.138,6.507,19.185
2023,F002,5.575,2.263,1.229,0.101,0.641,20.519,12.217,19.301,4,96.37,1,0,1,1,0,1,0,7,22.091,15.674,27.663,5.393,13.451,24.409,20.535,29.132,6.405,17.543,26.75,21.355,31.282,5.806,14.91,23.819,19.352,28.244,6.712,16.957
2021,F002,6.706,2.734,1.599,0.165,0.453,46.333,9.699,18.472,4,91.13,1,0,0,1,0,1,1,7,21.274,15.924,24.892,6.522,14.137,24.749,17.44,27.215,8.484,15.607,26.2,22.873,31.083,4.983,13.805,23.456,17.687,28.278,6.716,20.227
2022,F003,5.656,4.124,2.434,0.215,0.554,37.448,11.331,8.333,1,73.85,1,1,0,0,0,1,1,2,20.75,14.858,24.714,5.827,12.817,22.312,17.165,26.528,6.288,15.901,25.992,21.258,30.214,8.669,16.982,23.591,18.969,27.62,5.902,20.1
2021,F003,5.776,3.455,1.951,0.161,0.711,40.957,12.112,14.194,4,90.03,1,0,0,0,1,1,1,2,22.634,18.623,26.414,4.843,19.508,22.569,17.181,25.535,9.462,15.331,26.157,21.891,30.45,7.86,15.722,24.754,20.133,29.42,6.352,17.906
2023,F004,6.228,2.552,1.496,0.14,0.513,40.484,10.697,9.232,2,82.88,1,0,1,0,0,1,0,3,21.082,16.667,26.586,4.499,11.285,24.968,20.382,29.112,7.254,16.056,28.963,23.851,33.158,7.733,15.891,25.391,20.836,29.343,6.626,20.316
2022,F004,5.218,2.005,1.108,0.094,0.503,43.593,11.828,11.117,1,83.74,0,0,0,0,1,1,1,8,22.736,17.797,26.941,9.981,12.954,25.181,21.031,31.003,7.467,15.038,26.471,20.876,31.883,8.022,20.515,25.341,20.777,30.662,1.0,18.592
2021,F005,5.192,2.579,1.528,0.143,0.317,22.631,10.708,26.737,4,92.09,0,1,0,0,0,1,1,8,19.291,14.244,22.258,3.364,13.402,22.532,17.426,26.456,9.623,16.577,25.661,20.473,30.276,1.797,15.453,24.363,18.299,28.457,9.001,15.582
2022,F005,5.241,2.213,1.132,0.107,0.544,39.438,10.588,12.799,2,94.03,1,0,0,1,0,1,0,6,21.581,16.826,25.524,5.651,12.856,24.271,18.652,28.572,5.751,16.767,25.857,22.587,30.568,7.406,15.15,24.703,20.257,28.761,11.155,16.758
2021,F006,5.961,2.019,1.137,0.113,0.604,51.186,10.076,11.9,3,91.65,1,0,0,1,0,0,1,4,21.487,17.3,26.309,5.783,14.092,22.204,17.0,26.118,7.54,15.68,26.02,20.649,31.293,6.92,14.513,23.992,17.766,28.876,4.535,18.068
2023,F006,5.127,3.244,1.798,0.195,0.319,54.668,9.223,17.212,2,86.66,0,0,0,0,1,1,0,1,21.012,16.124,26.68,6.553,15.917,24.044,19.579,28.081,9.114,13.886,26.72,22.3,31.126,7.905,18.218,23.594,17.69,27.993,7.805,17.15
2022,F007,5.63,1.993,1.045,0.105,0.653,26.954,9.936,12.462,1,78.77,1,0,1,0,0,1,0,8,21.488,16.829,25.639,6.699,16.064,24.152,19.588,28.445,8.795,18.918,26.769,21.825,31.991,7.521,13.95,22.497,17.547,25.758,3.69,21.729
2023,F007,5.128,3.035,1.845,0.16,0.955,33.432,11.53,10.483,3,84.37,1,1,0,1,0,0,1,5,20.882,15.534,24.949,5.257,14.771,25.2,20.85,27.917,7.045,15.891,26.361,22.661,29.692,9.135,15.919,23.024,18.602,25.842,3.736,17.214
2023,F008,5.567,2.887,1.75,0.17,0.842,34.421,10.265,10.352,1,89.73,0,1,0,0,1,1,1,3,22.859,16.866,27.385,6.969,14.657,25.165,21.276,30.614,7.248,15.996,26.869,20.853,30.288,6.96,19.319,24.202,17.25,29.454,2.508,17.765
2021,F008,4.967,2.928,1.53,0.149,0.526,50.317,10.294,20.633,4,80.75,1,0,0,1,0,1,1,6,20.942,16.969,25.366,3.611,17.287,24.837,20.367,29.335,10.998,11.659,24.434,20.295,28.89,8.406,15.702,24.375,18.862,27.603,8.369,16.887
