feature,bin,count,median_feature_value,mean_shap,mean_abs_shap
Elevation__Low,0.0,288,0.0,-0.06827816578593211,0.06827816578593211
Elevation__Low,1.0,212,1.0,0.05189942538941054,0.05189942538941053
Elevation,"(190.79999999999998, 449.415]",68,307.585034014,0.03726823634330028,0.04065197606381724
Elevation,"(449.415, 672.069]",57,590.426303855,0.00298832007645438,0.024126029888877062
Elevation,"(672.069, 789.984]",77,676.145124717,-0.024089117469257258,0.03897303757929716
Elevation,"(789.984, 900.924]",53,889.786848073,-0.005843186027042501,0.060948037914190484
Elevation,"(900.924, 1046.329]",101,1011.72108844,-0.05023064772661515,0.052471769369070456
Elevation,"(1046.329, 1114.59]",24,1094.2913832200002,-0.0510184573979558,0.0510184573979558
Elevation,"(1114.59, 1870.134]",70,1503.59637188,-0.09625138050988169,0.0962513805098817
Elevation,"(1870.134, 2299.653]",50,1960.17573696,-0.12177078640107322,0.12177078640107322
Aspect,"(43.214000000000006, 100.507]",83,90.2087077705,-0.03115939127017934,0.03545607778067032
Aspect,"(100.507, 125.79]",50,112.814802786,-0.05595929856559436,0.05849575677309904
Aspect,"(125.79, 138.935]",60,137.1901734255,-0.020986204990341303,0.025588650245874933
Aspect,"(138.935, 157.05]",63,150.096797737,-0.0329906044071717,0.03376814072625783
Aspect,"(157.05, 205.025]",68,188.074135333,0.004078061736895408,0.021468103596372305
Aspect,"(205.025, 235.947]",66,235.946751283,-0.03864769219128516,0.046419927756460456
Aspect,"(235.947, 280.202]",87,280.201844986,-0.04297274519615937,0.05073284666857182
Aspect,"(280.202, 309.493]",23,309.49262741,-0.028254013927358847,0.07121561798376644
LUC_majori,0.0,13,0.0,-0.029536823911690387,0.034088867789806375
LUC_majori,1.0,182,1.0,0.03517644808035526,0.03517644808035526
LUC_majori,2.0,3,2.0,0.01930913042043986,0.01930913042043986
LUC_majori,4.0,122,4.0,0.018699038771539278,0.01899293440288986
LUC_majori,5.0,104,5.0,-0.00075650007800107,0.01693249831332374
LUC_majori,6.0,50,6.0,-0.12221055130003787,0.12221055130003787
LUC_majori,7.0,25,7.0,-0.051823324204555904,0.051823324204555904
LUC_majori,8.0,1,8.0,-0.03093624102789417,0.03093624102789417
