feature,baseline_score,permuted_score_mean,score_drop,score_drop_std
Elevation__Low,0.5837150986160003,0.5435825255983668,0.04013257301763351,0.002243373358409295
Elevation,0.5837150986160003,0.552194346658951,0.0315207519570494,0.0027798540451045572
LUC_majori,0.5837150986160003,0.5680456430534793,0.015669455562521084,0.0003365562360354568
B4_num,0.5837150986160003,0.5721184758322484,0.011596622783751953,0.0017752085644017757
Elevation__Medium,0.5837150986160003,0.5739388934432816,0.00977620517271871,0.004754987060166249
B5_num,0.5837150986160003,0.5784045426050055,0.005310556010994838,0.00043400684766359277
Elevation__High,0.5837150986160003,0.5790585668129431,0.004656531803057251,0.0022775313047531665
NDVI,0.5837150986160003,0.5812476893153944,0.0024674093006059605,0.0010046454807027816
Slope,0.5837150986160003,0.5820865682917812,0.0016285303242191684,0.0036378212856247316
Aspect,0.5837150986160003,0.616374113902686,-0.03265901528668569,0.005993714937872707
